"id","Type","Bezeichnung"
"539","S","Stkr.Scheinfeld,Neustadt/Aisch/Mfr"
"540","S","Nürnberg-Süd"
"541","S","Stkr.Tirschenreuth-Kemnath/Opf"
"542","S","Stkr.Tirschenreuth-Kemnath-Eschenbach/Opf"
"543","S","Stkr.Tischenreuth-Kemnath-Eschenbach/Opf"
"544","S","Stkr.Coburg-Stadt und Land, Neustadt b.Coburg/Ofr"
"545","S","Neumarkt i.d.OPf."
"546","S","Stkr.Kaufbeuren-Mindelheim/Schw"
"547","S","Stkr.München X, Neuhausen-Nymphenburg/Obb"
"548","S","Stkr.München-Stadt (3), Stbez. 7 Josephsplatz, 21 Neuhausen, 23 Nymphenburg/Obb"
"549","S","Fürth-Land"
"550","S","München-Fürstenried"
"551","S","Stkr.Vilshofen-Landau a.d.Isar/Ndb"
"552","S","Stkr.Neuburg a.d.Donau/Schw"
"553","S","Stkr.Wunsiedel/Ofr"
"554","S","Stkr.Gemünden-Karlstadt/Ufr"
"555","S","Stkr.Griesbach i.Rottal, Vilshofen"
"556","S","Stkr.Passau-West/Ndb"
"557","S","Traunstein"
"558","S","Stkr.Passau-Ost/Ndb"
"559","S","Landshut"
"560","S","Stkr.Aschaffenburg-Stadt und -Land/Ufr"
"561","S","Stkr.Nabburg-Oberviechtach-Vohenstrauß/Opf"
"562","S","Stkr.Nabburg/Opf"
"563","S","Landsberg a.Lech, Fürstenfeldbruck-West"
"564","S","Stkr.Berchtesgadener-Land/Obb"
"565","S","Stkr.Landsberg/Lech-Stadt u.Land,Schongau/Obb"
"566","S","Fürth-Stadt"
"567","S","Fürth"
"568","S","Stkr.Deggendorf/Ndb"
"569","S","Pfaffenhofen a.d. Ilm"
"570","S","Pfaffenhofen a.d.Ilm, Schrobenhausen"
"571","S","Stkr.Lindau-Stadt und -Land/Schw"
"572","S","Stkr.München-Land/Obb"
"573","S","Ingolstadt, Neuburg a.d.Donau"
"574","S","Ingolstadt"
"575","S","München-Giesing"
"576","S","Stkr.Kulmbach-Stadtsteinach,Kronach-Teuschnitz-Sonnefeld/Ofr"
"577","S","Stkr.Kulmbach-Stadt u. Land/Ofr"
"578","S","Stkr.Markt Oberdorf-Füssen/Schw"
"579","S","Stkr.Kaufbeuren-Stadt u. -Land,Mindelheim/Schw"
"580","S","Stkr.Starnberg-Wolfratshausen/Obb"
"581","S","Stkr.Kötzting,Regen,Viechtach/Ndb"
"582","S","Stkr.Altötting/Obb"
"583","S","Stkr.Weilheim-Schongau/Obb"
"584","S","Kronach"
"585","S","Kulmbach"
"586","S","Altötting"
"587","S","Stkr.Deggendorf-Stadt,Deggendorf-Land/Ndb"
"588","S","Coburg"
"589","S","Stkr.Rosenheim-West/Obb"
"590","S","Stkr.Eggenfelden,Vilsbiburg/Ndb"
"591","S","Stkr.Augsburg-Land,Schw"
"592","S","Stkr.Forchheim-Stadt u. -Land,Höchstadt/Aisch/Ofr"
"593","S","Neustadt a.d.Aisch-Bad Windsheim"
"594","S","Neustadt a. d. Aisch-Bad Windsheim, Fürth-Land"
"595","S","Freising"
"596","S","Erlangen-Stadt"
"597","S","Stkr.Nürnberg IV/Mfr"
"598","S","Stkr.Nürnberg VI und VII/Mfr"
"599","S","Stkr.Nürnberg VI/Mfr"
"600","S","Stkr.Nürnberg VI,Weißenburg i.B.-Gunzenhausen/Mfr"
"601","S","Stkr.Hammelburg-Karlstadt-Brückenau/Ufr"
"602","S","Stkr.Lindau/Schw"
"603","S","Stkr.München V/Obb"
"604","S","Stkr.Neustadt a.d.Aisch-Bad Windsheim/Mfr"
"605","S","Stkr.Rothenburg o.d.Tauber-Stadt, Rothenburg o.d.Tauber-Land, Scheinfeld, Uffenheim"
"606","S","Augsburg-Stadt-West"
"607","S","Stkr.München III,Altötting-Laufen,Mühldorf/Obb"
"608","S","Stkr.München XI (West)/Obb"
"609","S","Stkr.Hilpoltstein-Schwabach/Mfr"
"610","S","Stkr.Bad Kissingen-Bad Neustadt a.d.Saale/Ufr"
"611","S","Stkr.Kulmbach/Ofr"
"612","S","Forchheim"
"613","S","Stkr.Weiden/Opf"
"614","S","München-Milbertshofen"
"615","S","Memmingen"
"616","S","Cham"
"617","S","Stkr.Regensburg-Land-Nittenau,Stadtamhof/Opf"
"618","S","Dingolfing"
"619","S","Stkr.Dachau/Obb"
"620","S","Mühldorf a.Inn"
"621","S","Ebersberg"
"622","S","Stkr.Schwandorf/Opf"
"623","S","Bamberg-Stadt"
"624","S","Stkr.Berchtesgaden-Traunstein,Wasserburg/Obb"
"625","S","Stkr.Rosenheim-Stadt und -Land/Obb"
"626","S","Stkr.München-Stadt (5), Stbez. 17 Obergiesing, 18 Untergiesing-Harlaching/Obb"
"627","S","Stkr.München-Giesing/Obb"
"628","S","Stkr.Neu-Ulm/Schw"
"629","S","Stkr.Hof/Saale-Stadt u. Land/Ofr"
"630","S","Stkr.Neustadt a.d.Waldnaab, Weiden-Stadt,Eschenbach/Opf"
"631","S","Kitzingen"
"632","S","Stkr.Augsburg-Land-Nord/Schw"
"633","S","Nürnberg-Ost"
"634","S","Stkr.Donauwörth-Nördlingen-Stadt und Land/Schw"
"635","S","Stkr.Donau-Ries/Schw"
"636","S","Stkr.München-Nymphenburg/Obb"
"637","S","Stkr.Stadt Marktredwitz, Stadt Selb, Rehau,Wunsiedel/Ofr"
"638","S","Stkr.Augsburg-Land, Wertingen/Schw"
"639","S","Stkr.Nürnberg-Ost/Mfr"
"640","S","Berchtesgadener Land"
"641","S","Stkr.Rottal-Inn/Ndb"
"642","S","Stkr.Passau-Stadt u.-Land/Ndb"
"643","S","Aschaffenburg-Ost"
"644","S","Stkr.Neuburg a.d.Donau-Stadt, Neuburg a.d.Donau-Land, Wertingen/Schw"
"645","S","Bad Kissingen"
"646","S","Stkr.München-Bogenhausen/Obb"
"647","S","Stkr.Memmingen/Schw"
"648","S","Stkr.Augsburg-Stadt-Ost/Schw"
"649","S","Passau-West"
"650","S","Passau-Ost"
"651","S","Stkr.Coburg-Stadt u.-Land/Ofr"
"652","S","Stkr.Hof-Ost/Ofr"
"653","S","Stkr.Augsburg-Ost/Schw"
"654","S","Stkr.Würzburg-Land/Ufr"
"655","S","Stkr.Würzburg-Land,Marktheidenfeld/Ufr"
"656","S","Kempten (Allgäu)"
"657","S","Kempten, Oberallgäu"
"658","S","Stkr.München-Altstadt/Obb"
"659","S","Stkr.Erlangen-Land/Mfr"
"660","S","Ausgburg-Stadt-Ost"
"661","S","Augsburg-Stadt-Ost"
"662","S","Stkr.Alzenau-Miltenberg-Obernburg/Ufr"
"663","S","München-Land-Süd"
"664","S","Stkr.Alzenau-Lohr,Marktheidenfeld-Würzburg-Land/Ufr"
"665","S","Stkr.München II/Obb"
"666","S","Hof"
"667","S","Stkr.Bad Tölz, Garmisch-Partenkirchen/Obb"
"668","S","Stkr.Nürnberg-Nord/Mfr"
"669","S","Stkr.Schweinfurt-Stadt u. Land/Ufr"
"670","S","Stkr.Grafenau-Regen-Viechtach,Straubing-Landau a.I.,Deggendorf/Ndb"
"671","S","Stkr.Aschaffenburg-Ost/Ufr"
"672","S","Stkr.Weißenburg/Mfr"
"673","S","Stkr.Dingolfing/Ndb"
"674","S","Stkr.Passau,Griesbach-Vilshofen/Ndb"
"675","S","Rosenheim-West"
"676","S","Stkr.Memmingen,Neu-Ulm-Illertissen/Schw"
"677","S","Stkr.Kempten-Sonthofen, Memmingen, Neu-Ulm-Illertissen/Schw"
"678","S","München-Schwabing"
"679","S","Mühldorf a. Inn"
"680","S","Stkr.Freyung/Ndb"
"681","S","Stkr.Nürnberg-Land,Fürth-Land/Mfr"
"682","S","Stkr. Nürnberg-Land, Fürth-Land/Mfr"
"683","S","Stkr.Fürth-Land, Neustadt a.d.Aisch/Mfr"
"684","S","Neustadt a. d. Aisch-Bad Windsheim"
"685","S","Stkr.Nördlingen,Donauwörth"
"686","S","Stkr.Nördlingen,Neuburg a.D.,Dillingen-Donauwörth-Wertingen-Zusmarshausen/Schw"
"687","S","Stkr.Ansbach-Stadt und Land/Mfr"
