"id","Name","Vorname","Titel","Beruf","geb_am","geb_in","ges_am","ges_in","f_id","k_id"
"924","Rubenbauer","Herbert","","Bankkaufmann","1950-04-05","Ebnath/Opf.","null","","7","1"
"925","Rudrof","Heinrich","","Dipl.-Betriebswirt (FH)","1955-04-24","Bamberg","null","","8","1"
"926","Rummel","Oskar","","Verw.-Amtmann i.R.","1921-07-27","Erlenbach","null","","8","1"
"927","Runge","Martin","Dr.","Dipl.-Kaufmann, selbst. Unternehmensberater","1958-02-15","Dachau","null","","4","null"
"928","Rupp","Adelheid","","selbstständige Rechtsanwältin","1958-09-16","Geislingen a.d. Steig","null","","null","3"
"929","Rupp","Ludwig","","Geschäftsführer","1928-05-23","Neumarkt","null","","7","1"
"930","Rupprecht","Fritz","","kaufm. Angestellter","1897-04-16","Fürth","1990-08-27","Fürth","3","3"
"935","Rüth","Berthold","","Dipl. Betriebswirt, ltd. Angestellter","1958-03-28","Hobbach","null","","8","1"
"936","Rütting","Barbara","","Autorin, Gesundheitsberaterin","1927-11-21","Berlin","null","","null","null"
"931","Ruttmann","Josef","","Stadtoberamtmann i.R.","1922-09-01","Zirndorf","2002-09-12","Aachen","3","3"
"937","Sackmann","Franz","","Staatssekretär im Staatsministerium für Wirtschaft und Verkehr","1920-12-17","Kaiserslautern","0011-10-14","Roding","7","1"
"938","Sackmann","Markus","","Staatssekretär","1961-03-01","Roding","2015-09-04","","29","4"
"939","Sahliger","Bruno","Dr.","Regierungsassessor","1922-08-18","Seitendorf, Krs. Freudental","1993-11-10","Köfering b. Regensburg","7","3"
"940","Sailer","Martin","","Dipl. Kaufmann, Selbst. Unternehmer","1970-04-22","München","null","","9","1"
"941","Sandt","Julika","","Chefredakteurin","1971-09-22","Hildesheim","null","","6","null"
"942","Sauer","Erich","","Schulamtsdirektor a.D.","1917-02-05","Würzburg","2001-03-19","Würzburg","8","1"
"943","Sauer","Franz Ludwig","","Landwirt u. Mühlenbesitzer, Bürgermeister a.D.","1893-10-01","Binsfeld (Arnstein)","1950-03-30","Binsfeld (Arnstein)","7","3"
"944","Sauer","Hans","","Angestellter","1908-04-19","Schweinfurt","1966-09-21","Niederwerrn","3","3"
"945","Saukel","Egid","","Rechtsanwalt, Bürgermeister a.D.","1900-02-03","Aidhausen","1958-09-06","Hofheim i.Ufr.","3","3"
"946","Sauter","Alfred","","Rechtsanwalt, Staatsminister a.D.","1950-08-03","Oxenbronn, Landkreis Günzburg","null","","8","1"
"947","Schade","Jürgen","Dr.","Richter am Bundespatentgericht a.D.","1942-12-03","Berlin","null","","23","2"
"1038","Schäfer","Franz","","Dachdeckermeister","1899-01-06","Ingolstadt","1973-12-18","Ingolstadt","3","3"
"1039","Schäfer","Josef","","Geschäftsführer","1902-06-26","Niederhöchstadt","1994-02-20","Augsburg","7","3"
"1040","Schäfer","Karl","","Kaufmann","1912-08-12","Obereschenbach","1991-04-21","Nürnberg","7","3"
"1041","Schäffer","Alfons","","Landwirt und Bürgermeister","1923-07-27","Niederwinkling","1984-01-28","Niederwinkling","2","1"
"948","Schaller","Gabriel","","DGB-Kreisgeschäftsführer a.D.","1912-12-20","Herbertshausen","1999-06-07","Dachau","7","3"
"949","Schaller","Helmuth","","Rundfunkmechanikermeister","1923-12-01","Nürnberg","1999-03-01","Feucht","7","3"
"950","Schaller","Willy","","Bäckermeister","1923-05-30","Weiden","1983-04-16","Weiden","10","1"
"951","Schammann","Johann","","Agrartechniker, Landwirt","1953-09-09","Hartershofen","null","","8","5"
"952","Scharf","Josef","","Landwirtschaftsrat und Landrat a.D.","1890-03-02","Neumarkt i.d.Opf.","1965-12-13","Beilngries","3","3"
"953","Scharf","Norbert","","Schlosser","1952-01-06","Kallstadt","2010-03-28","Bayreuth","3","3"
"954","Scharf","Ulrike","","Dipl. Betriebswirtin (FH), Staatsministerin","1967-12-16","Erding","null","","54","1"
"955","Scharfenberg","Maria","","Ernährungs- und Ökologieberaterin","1952-02-04","Aschendorf/Ems","null","","28","null"
"956","Schedl","Otto","Dr.","Landrat a.D., Staatsminister a.D., stv. Ministerpräsident a.D.","1912-12-10","Sinzing","1995-06-08","München","3","3"
"957","Scheel","Christine","","M.A. Pädagogin","1956-12-31","Aschaffenburg","null","","8","3"
"958","Schefbeck","Otto","","Rechtsanwalt","1900-09-25","Straubing","1972-04-10","k.A.","3","3"
"959","Schemm","Hans","","Kaufmann","1910-07-03","München","1998-07-02","München","3","3"
"960","Scherber","Andreas","","Zimmerpolier, Bürgermeister a.D.","1893-07-09","Lauf a.d.Pegnitz","1974-05-12","Lauf a.d.Pegnitz","3","3"
"961","Scheuenstuhl","Harry","","Dipl. Ing. der Technischen Chemie - Fachrichtung Umweltschutz","1961-12-03","Wilhermsdorf","null","","9","2"
"962","Schick","Franz Josef","","Studienrat","1936-11-05","Ellzee","null","","3","1"
"963","Schieder","Marianne","","Juristin","1962-05-23","Schwarzberg","null","","6","1"
"964","Schieder","Werner","","Dipl.-Finanzwirt (FH)","1948-09-13","Ellenbach, Landkreis Neustadt a.d. Waldnaab","null","","8","2"
"965","Schier Dr.","Herbert","Dr.","Rechtsanwalt","1897-01-13","Reichenberg, Sudetenland","1960-08-08","Regensburg","3","3"
"966","Schimpl","Toni","","Schlosser","1943-01-29","Nürnberg","null","","8","3"
"967","Schindler","Franz","","Rechtsanwalt","1956-01-13","Teublitz","null","","26","null"
"974","Schläger","Albrecht","","Dipl.-Ing. (FH), Förster","1942-09-04","Marktredwitz","null","","8","2"
"968","Schleich","Xaver","","Landwirt","1921-02-19","Altenstadt","2006-07-12","","7","3"
"969","Schleicher","Marielies","","Hausfrau","1901-07-28","Aschaffenburg","1996-01-17","Aschaffenburg","55","1"
"970","Schlichtinger","Friedl","","Bezirksfürsorgerin","null","k.A.","1965-03-26","Regensburg","3","3"
"971","Schlichtinger","Rudolf","","Lehrer, Oberbürgermeister","1915-04-08","Regensburg","1994-05-07","Regensburg","3","3"
"972","Schlittmeier","Andreas","Dr.","oec. publ.  Dipl.-Volkswirt, Kaufmann","1920-05-28","Landshut","2000-11-02","Landshut","5","1"
"975","Schlögl","Alois","Dr.","Journalist, Staatsminister a.D.","1893-04-04","Pleinting/Vilshofen","1957-09-27","München","3","4"
"973","Schlosser","Walter","","Geschäftsführer","1936-02-27","Laakirchen/Oberösterreich","null","","8","1"
"976","Schmid","Albert","","Verlagskaufmann","1943-11-15","Augsburg-Göggingen","2014-03-12","","5","1"
"977","Schmid","Andreas","","Werkzeugdreher, Vorarbeiter","1900-09-25","Röthenbach a.d.Pegnitz","1985-03-24","Röthenbach a.d.Pegnitz","3","3"
"978","Schmid","Berta","","Bäuerin","1951-11-28","Memmenhausen","null","","4","1"
"979","Schmid","Georg","","","1953-04-20","Donauwörth","null","","38","1"
"980","Schmid","Karl","","Buchbindermeister, Handwerkskammerpräsident","1883-09-20","Jettingen (Jettingen-Scheppach)","1958-05-31","München","3","3"
"981","Schmid","Peter","","Geschäftsführer","1947-02-06","Christertshofen","null","","8","1"
"982","Schmidhuber","Heinrich","","Sparkassenoberinspektor","1936-02-21","Freyung","null","","8","1"
"983","Schmidhuber","Peter","","Rechtsanwalt, Staatsminister a.D.","1931-12-15","München","null","","35","1"
"984","Schmidramsl","Hanns Martin","","Referent","1917-01-11","München","1991-11-07","Eichstätt","3","4"
"985","Schmidt","Gabi","","Landwirtin","1968-01-17","Neustadt/Aisch","null","","9","2"
"986","Schmidt","Gottlieb","","Schmied, Landwirt","1882-06-23","Rudelstetten (Alerheim)","1960-04-07","Rudelstetten (Alerheim)","3","3"
"987","Schmidt","Renate","","Systemanalytikerin","1943-12-12","Hanau/Main","null","","9","2"
"988","Schmidt-Sibeth","Waltraud","","Diplom-Sozialpädagogin (FH)","1940-04-09","Berlin","null","","56","2"
"989","Schmitt","Artur","","Generalleutnant a.D.","1888-07-20","Albersweiler/Pfalz","1972-01-15","München","4","3"
"990","Schmitt","Hilmar","","Rechtsanwalt","1942-12-28","Aschaffenburg","null","","5","8"
"991","Schmitt","Philipp","","Redakteur","1910-01-28","Lichtenfels","1994-05-30","Bamberg","9","1"
"992","Schmitt-Bussinger","Helga","","Hauptschullehrerin","1957-11-23","Oberdachstetten","null","","5","2"
"993","Schmolcke","Joachim","","Studiendirektor a.D.","1934-08-16","Waase auf Ummanz (bei Rügen)","2012-09-06","München","3","3"
"994","Schnappauf","Werner","Dr.","Staatsminister a. D., Hauptgeschäftsführer BDI","1953-08-30","Steinbach am Wald","null","","9","1"
"995","Schneider","Alfons","","Oberlehrer","1923-08-29","Regensburg","2011-12-28","Regensburg","9","3"
"996","Schneider","Erwin","","Landwirt, Dipl.-Ing. agr. (Univ.)","1961-05-11","Hölzling","null","","6","1"
"997","Schneider","Georg","","Lehrer und Schriftsteller","1902-04-15","Coburg","1972-11-23","Coburg","3","3"
"998","Schneider","Harald","","Polizeihauptkommissar","1952-05-03","Würzburg","null","","9","1"
"999","Schneider","Siegfried","","Staatsminister a. D.","1956-04-07","Oberzell, Kreis Eichstätt","null","","9","1"
"1000","Schneider","Wilhelm (Willi)","","Wilhelm (Willi) Oberstudiendirektor a.D.","1915-06-19","München","2003-05-10","Ingolstadt","8","4"
"1001","Schneier","Heinrich","","Redakteur","1925-12-21","Schmachtenberg/Main","null","","7","1"
"1002","Schnell","Elisabeth","","Diözesan-Referentin","1932-10-27","Sontheim","null","","6","4"
"1003","Schnell","Heinrich","","Rechtsanwalt","1933-07-21","Schwabach","null","","9","3"
"1004","Schnell","Peter","","Staatsanwalt","1935-12-09","Ingolstadt","null","","8","1"
"1042","Schöfberger","Rudolf","Dr. jur.","Rechtsreferendar, Regierungsrat a.D.","1935-06-29","München","null","","7","3"
"1043","Schöffel","Martin","","Dipl.-Wirtschaftsing. (FH)","1977-04-21","Bayreuth","null","","12","2"
"1005","Scholl","Georg","","Kaufmann, Bürgermeister a.D.","1919-10-07","Bad Oberdorf","1990-07-13","Hindelang/Allgäu","7","3"
"1044","Schöllhorn","Peter","","Schreinermeister","1888-10-13","Kaufering","null","Neu-Ulm","3","3"
"1006","Scholz","Manfred","Dr.","Dipl.-Volkswirt, Dipl.-Wirtschaftsing. (FH)","1938-09-01","Nürnberg","null","","9","2"
"1045","Schön","Gustl","","Diözesansekretär","1929-05-05","Wiesau","1997-03-27","Eichstätt","9","4"
"1046","Schön","Karl","","Kaufmann","1931-08-17","München","1989-06-22","München","9","1"
"1047","Schönecker","Ludwig","Dr. jur.","Rechtsanwalt","1905-04-16","Bechhofen","1988-12-03","Ansbach","3","2"
"1048","Schöner","Franz","","Kaufmann","1898-03-04","Zell a.Harmersbach, Baden-Württemberg","1967-02-05","Weiden i.d.Opf.","24","1"
"1049","Schönhuber","Wilhelm","","Rechtsanwalt, Bezirkstagspräsident a.D.","1902-01-27","Appertshofen","1979-05-21","Rott b. Eggenfelden","3","3"
"1050","Schöpf","Georg","","Sattlermeister und Landwirt","1893-08-25","Kemnath","1962-12-30","Kemnath","3","3"
"1007","Schopper","Theresa","","Dipl.-Soziologin, Landesvorsitzende","1961-04-09","Füssen im Allgäu","null","","8","1"
"1008","Schorer","Angelika","","Bäuerin, Unternehmerin","1958-08-12","Kaufbeuren","null","","4","1"
"1009","Schorer-Dremel","Tanja","","Grundschullehrerin","1964-03-07","Meschede","null","","9","1"
"1010","Schosser","Erich","Dr.","Journalist","1924-09-07","München","2013-09-27","","7","3"
"1051","Schösser","Fritz","","DGB-Vorsitzender Bayern","1947-06-24","Töging a.Inn","null","","8","3"
"1011","Schraml","Josef","","Bäckermeister","1895-04-22","Erbendorf","1954-04-01","Erbendorf","3","3"
"1012","Schramm","Hans-Günther","","Schriftsetzer","1941-10-06","Stolp/Pommern","null","","5","5"
"1013","Schramm","Henry","","Dipl. Verwaltungswirt, Industriekaufmann","1960-05-15","Hohenberg","null","","9","1"
"1014","Schraut","Ludwig","","Oberlehrer","1929-12-01","Göggingen","2007-04-07","Memmingen","9","1"
"1015","Schreck","Helmut","","Bürgermeister a. D.","1941-02-24","Grän/Tirol","null","","5","1"
"1016","Schreiber","Hans","","Oberverwaltungsrat a.D.","1923-02-04","München","1999-06-04","München","3","3"
"1017","Schreiner","Karl","","Lehrer","1911-04-14","Ujest, Sudetenland","1979-08-17","k.A.","3","3"
"1018","Schreyer-Stäblein","Kerstin","","Dipl. Sozialpädagogin (FH) Systemische Therapeutin (DGSF)","1971-06-29","München","null","","5","1"
"1019","Schubert Dr.","Karl","Dr.","Oberstudiendirektor","1905-04-03","Eger, Sudetenland","1986-06-11","Straubing","7","1"
"1020","Schuhmann","Manfred","Dr.","Gymnasiallehrer","1942-03-22","Ingolstadt","null","","8","5"
"1021","Schuhmann","Otto","","Studienrat a.D.; Dipl.Kaufmann","1944-05-19","Hochstadt/Main","null","","8","3"
"1022","Schultz","Heiko","","Richter a. D.","null","Stettin/Pommern","null","","2","5"
"1023","Schulze","Katharina","","Interkulturelle Trainerin & Doktorandin","1985-06-20","Freiburg","null","","6","null"
"1024","Schuster","Georg","","Bauer","1903-08-11","Haslach (Hohenau)","1975-02-04","Haslach (Hohenau)","7","1"
"1025","Schuster","Stefan","","Berufsfeuerwehrmann","1959-09-01","Nürnberg","null","","7","null"
"1052","Schütte","Georg","","Elektrokaufmann, Bürgermeister a.D.","1895-08-15","München","1959-01-24","Garmisch-Partenkirchen","3","3"
"1026","Schwab","Georg","","Schmiede- und Installationsmeister","1901-04-16","Nürnberg","1979-09-15","Rehdorf","3","3"
"1027","Schwab","Thorsten","","Beamter","1975-12-12","Marktheidenfeld","null","","5","1"
"1028","Schwabl","Ludwig","","Verwaltungsangestellter, 1.Bürgermeister a.D.","1921-05-01","Inzell","2007-04-07","Inzell","9","1"
"1037","Schwägerl","Hans","","Kaufmann","1901-07-29","Waldsassen","1973-09-24","Marktredwitz","7","1"
"1029","Schwalber","Josef","Dr.","oec. publ.  Rechtsanwalt, Staatsminister a.D.","1902-03-19","Fürstenfeldbruck","1969-08-16","Dachau","3","3"
"1030","Schwartz","Harald","Dr.","Rechtsanwalt","1969-01-31","Bad Kötzting","null","","2","null"
"1031","Schweder","Christl","","Hausfrau, Staatssekretärin a.D.","1936-11-16","Berlin","null","","25","2"
"1032","Schweiger","Martin","Dr.","Metzgermeister, Dipl.-Kaufmann, Landrat","1911-02-05","Göggingen (Augsburg)","1990-02-23","Dillingen a.d.Donau","3","3"
"1033","Schweiger","Rita","","Lehrfrau und Meisterin der ländlichen Hauswirtschaft","1943-05-06","Moosburg/Obb.","null","","9","1"
"1034","Schweiger","Tanja","","Diplomkauffrau (Univ), Bankkauffrau","1978-05-27","Regensburg","null","","57","1"
"1035","Schwimmer","Jakob","","selbst. Kaufmann","1949-03-29","Thon","null","","8","1"
"1036","Schwingenstein","August","","Journalist, Zeitungsverleger","1881-03-09","Memmingen","1968-11-05","k.A.","3","3"
"1053","Sebald","Josef","","Gerber; Geschäftsführer einer Zeitung","1905-10-17","Aubing (München)","1960-08-27","Rosenheim","7","3"
"1054","Seebauer","Rolf","","Dipl.-Volkswirt","1945-07-18","Bad Kissingen","null","","8","3"
"1055","Seehofer","Horst","","Ministerpräsident","1949-07-04","Ingolstadt","null","","4","1"
"1056","Seehuber","Andreas","","Landwirt","1929-11-04","Tettelham","null","","10","1"
"1057","Seibel-Emmerling","Lieselotte","","Lehrerin, Rektorin a.d.","1932-02-03","Leobschütz","null","","5","3"
"1058","Seibert","Hans","","Verbandsrevisor","1913-10-17","Weßling","1990-07-01","München","7","3"
"1059","Seidel","Hanns","Dr.","Rechtsanwalt, Staatsminister a.D., Ministerpräsident a.D.","1901-10-12","Schweinheim (.Aschaffenburg)","1961-08-05","München","3","3"
"1060","Seidenath","Bernhard","","Jurist, Pressesprecher, Ministerialrat a.D.","1968-11-08","Erlangen","null","","38","1"
"1061","Seidl","Alfred","Dr. jur.","Rechtsanwalt, Staatsminister a.D.","1911-01-30","München","1993-11-25","München","3","3"
"1062","Seifert","Franz Peter","","Verwaltungsangestellter, Landrat a.D.","1915-08-15","Kladrau","1994-06-22","Schwabach","3","3"
"1063","Seifried","Josef","","Innenminister a.D.","1892-05-09","München","1962-07-09","München","3","9"
"1064","Seitz","Erwin","","Landwirtschaftsmeister","1928-08-16","Obergermaringen","2003-10-10","Germaringen","10","1"
"1065","Seitz","Walter","Prof. Dr.","Universitätsprofessor, Klinikdirektor","1905-07-24","München","1997-02-10","München","3","3"
"1066","Sem","Reserl","","Erzieherin","1953-11-30","Tann","null","","1","1"
"1067","Sengl","Gisela","","Biobäuerin, Wirtschaftsfachwirtin","1960-07-21","München","null","","9","1"
"1068","Sibler","Bernd","","Staatssekretär","1971-02-19","Straubing","null","","38","1"
"1069","Sichler","Franz","","Parteisekretär","1909-03-20","Schwandorf","1985-11-06","Schwandorf","3","3"
"1070","Sieber","Kurt","","Studiendirektor","1936-06-20","Eger","null","","8","2"
"1071","Simm","Hermann","","Fabrikant","1906-09-05","Kukan/Sudetenland","1995-11-22","Kaufbeuren","8","3"
"1072","Simmel","Erich","","Rechtsanwalt, Staatssekretär","1885-05-29","Breslau","1974-11-26","Kronach","3","3"
"1073","Simon","Helmut","Dr.","Zahnarzt","1939-07-31","Gablonz/Neisse","null","","4","null"
"1074","Simon","Hildegard","","Finanzwirtin","1954-03-08","Markt Bibart","null","","8","1"
"1075","Sinner","Eberhard","","Staatsminister a.D.","1944-11-20","Würzburg","null","","8","5"
"1076","Sittig","Georg","","Referent, Bürgermeister","1896-09-07","Rottendorf","1964-08-18","Würzburg","3","3"
"1152","Söder","Markus","Dr.","Fernsehredakteur/Staatsminister","1967-01-05","Nürnberg","null","","4","5"
"1077","Soenning","Rudolf","Dr.","Augenarzt","1904-12-05","Memmingen","1980-08-02","Memmingen","3","3"
"1078","Soldmann","Oskar","","Verwaltungsangestellter","1915-10-02","Schweinfurt","0099-06-10","","3","3"
"1079","Sommer","Alfred","","Kriminalbeamter a.D.","1925-07-12","Nürnberg","2006-03-03","Nürnberg","8","3"
"1080","Sommerkorn","Klaus","","Lehrer a.D.","1941-04-02","Oels/Schlesien","2010-07-31","Rothenburg o.d.Tauber","3","3"
"1081","Sonnenholzner","Kathrin","","Ärztin","null","München","null","","32","null"
"1082","Sonntag","Karl","","Angestellter","1915-07-24","Sparneck","1982-10-11","Sparneck","3","3"
"1083","Sornik","Paul","Dr.","Regierungs- und Schulrat a.D.","1900-04-26","Myslowitz/Oberschlesien","1982-03-02","k.A.","3","3"
"1084","Spaenle","Ludwig","Dr.","Staatsminister","1961-06-16","München","null","","1","1"
"1085","Spatz","Joachim","","Dipl.-Mathematiker","1964-01-05","Rück-Schippach","null","","6","3"
"1086","Speth","Friedrich","","Lehrer","1937-08-25","Großheubach","null","","3","1"
"1087","Spiekenheuer","Hubert","","Oberstleutnant a.D.","1928-03-19","Breslau","null","","7","1"
"1088","Spitzner","Hans","","Staatssekretär a D., Diplomvolkswirt, freiberufl. Wirtschaftsberater","1943-11-26","Berchtesgaden","null","","26","1"
"1089","Sprinkart","Adi","","Landwirt, Landw. Berater","1953-05-06","Niedersonthofen","2013-05-03","","23","null"
"1090","Stachowitz","Diana","","Erzieherin","1963-03-20","Zeven","null","","58","2"
"1091","Stahl","Christine","","IV. Vizepräsidentin des Bayerischen Landtags","1957-10-15","Nürnberg","null","","6","null"
"1092","Stahl","Georg","","Steuerfachangestellter","1940-08-09","Pirk","null","","25","1"
"1093","Stain","Walter","","Kaufmann, Staatsminister a.D.","1916-12-27","Prag","2001-02-03","Mainstockheim","3","3"
"1094","Stamm","Barbara","","Präsidentin des Bayerischen Landtags","1944-10-29","Bad Mergentheim","null","","9","4"
"1095","Stamm","Claudia","","Nachrichtenredakteurin","1970-10-08","Würzburg","null","","59","null"
"1096","Stamm","Nikolaus","","Kaufm.Angestellter","1915-02-15","Schney","1974-05-06","Schney","7","3"
"1097","Stang","Georg","Dr. h.c.","Oberstudiendirektor a.D.,Landrat a.D., Landtagspräsident","1880-02-20","Amorbach im Odenwald","1951-05-10","Bad Kissingen","3","4"
"1098","Starzmann","Gustav","","Dipl.-Ingenieur","1944-09-19","Bad Reichenhall","null","","8","null"
"1099","Staudacher","Anton","","Zimmermeister, 1.Bürgermeister","1912-11-10","Tegernsee","1997-09-04","Tegernsee","8","null"
"1100","Stechele","Josef","","Reg.-Forstamtmann","1929-07-04","Gutenberg","1997-03-19","Augsburg","3","3"
"1101","Stegerer","Wilhelm","","Landwirt, Bürgermeister, stv.Landrat","1898-02-28","Kareth b. Regensburg","1983-07-23","Lappersdorf","3","3"
"1102","Stegerwald","Wilhelm","","Landrat a.D.","1916-05-16","Köln","1982-04-17","Lappersdorf","3","1"
"1103","Stegmiller","Ekkehart","","Musiklehrer","1952-02-25","Ulm","null","","5","5"
"1104","Steiger","Christa","","Lehrkraft Sport","1951-12-08","Unterrodach","null","","25","2"
"1105","Stein","Erwin","","Dipl.-Volkswirt Dipl.-Volkswirt, Steuerberater","1930-04-20","Nürnberg","2009-02-06","Grünwald","7","1"
"1106","Steinberger","Rosi","","Dipl. Ing. Agr.","1960-03-09","Velden/Vils","null","","8","1"
"1107","Steinberger","Walter","Dr.","Versicherungskaufmann","1924-11-29","München","1997-06-25","München","7","1"
"1108","Steiner","Klaus","","Dipl. Rechtspfleger, Regierungsrat a.D.","1953-10-07","Übersee","null","","9","1"
"1109","Steinmaßl","Hermann","","Dipl.-Ingenieur (FH)","1948-05-15","Fridolfing","null","","9","1"
"1110","Stenglein","Andreas","","Rechnungsprüfer","1929-01-20","Gaustadt","null","","8","1"
"1111","Stenglein","Heinrich","","Techn.Oberamtsrat a.D.","1928-01-17","Frankenberg","1991-01-28","Kulmbach","9","null"
"1112","Sterzer","Michael","","Bauer","1893-03-24","Adelsreuth","1970-01-04","Babenstuben/Eurasburg","4","3"
"1113","Steuer","Wolfgang","","Oberforstmeister","1915-04-15","Limburgerhof/Pfalz","null","","3","3"
"1114","Stewens","Christa","","Fraktionsvorsitzende","1945-08-27","Altötting","null","","10","1"
"1115","Stiefvater","Hermann","","Kaufmann, Oberbürgermeister","1903-06-11","Freiburg i.Breisgau","1977-04-16","Straubing","8","3"
"1116","Stierstorfer","Sylvia","","Bankkauffrau","1963-02-22","Regensburg","null","","5","1"
"1117","Stiller","Franz Georg","","Ingenieur","1920-04-23","München","1975-03-12","München","3","3"
"1118","Stinglwagner","Alois","","Diplomingenieur, Bergwerksdirektor","1887-02-19","Miesbach","1955-07-23","Penzberg","3","3"
"1119","Stock","Jean","","Buchdruckermeister, Oberbürgermeister,Landrat","1893-06-07","Gelnhausen/Hessen","1965-01-13","Aschaffenburg","3","3"
"1144","Stöckel","Heinz","","Mechaniker","1929-09-11","Burkhardsdorf,Krs. Chemnitz","2001-01-20","","5","2"
"1120","Stockinger","Hans Gerh.","Prof. Dr.","Professor","1950-04-22","Schweinfurt","0013-09-02","","9","1"
"1145","Stöhr","Heinrich","","Verwaltungsoberinspektor","1904-09-12","Weißenburg i.Bay.","1958-12-09","Weißenburg i.Bay.","3","3"
"1121","Stoiber","Edmund","Dr.","Ministerpräsident a.D.","1941-09-28","Oberaudorf, Landkreis Rosenheim","null","","9","1"
"1146","Stöttner","Klaus","","Geschäftsführender Gesellschafter","1963-09-11","Schloßberg / Rosenheim","null","","38","1"
"1122","Stracke","Rudolf","","Stadtoberinspektor","1908-09-24","Reichenau/Gablonz","1977-04-01","Kaufbeuren","3","3"
"1123","Strasser","Alfons","","Grundstücks- und Hypothekenmakler","1918-08-05","Geisenhausen","1962-09-10","Landshut","3","3"
"1124","Strasser","Johannes","","Bürgermeister a. D.","1945-02-12","Tapfheim","null","","9","1"
"1125","Strathmann","Hermann","Prof. Dr.","Professor der Theologie","1882-08-10","Opherdicke,Kreis Hoerde/Westfalen","1966-11-30","Erlangen","3","3"
"1126","Straub","Karl","","Kfz-Betriebswirt","1971-07-01","Ingolstadt","null","","8","1"
"1128","Strauß","Franz Josef","Dr. h.c.","Bayerischer Ministerpräsident","1915-09-06","München","1988-10-03","Regensburg","53","1"
"1127","Strauss","Franz","","Bundesbahnamtmann","1898-02-11","Füssen","1966-07-27","München","10","1"
"1129","Strehle","Max","","Dipl.-Ing. (FH) Architekt","1946-12-12","Deubach","null","","8","1"
"1130","Streibl","Florian","","Rechtsanwalt","1963-04-10","München","null","","8","1"
"1131","Streibl","Max","Dr. h.c.","Ministerpräsident a.D.","1932-01-06","Oberammergau","1998-12-11","München","9","1"
"1132","Strenkert","Paul","","Staatsminister a.D.","1899-01-09","Oedheim/Württemberg","1989-12-01","Kempten","10","4"
"1133","Strobel","Fritz","","Landwirt, Holzhändler, Bürgermeister","1888-12-21","Rehau","1972-01-11","Rehau","3","6"
"1140","Ströbel","Jürgen","","Landwirtschaftsmeister","1947-12-16","Daubersbach","null","","9","5"
"1134","Strobl","Josef","","Steueramtmann; Bürgermeister","1887-01-30","München","1965-06-27","Ingolstadt","3","3"
"1135","Strobl","Reinhold","","Industriekaufmann","1950-05-10","Schnaittenbach","null","","7","1"
"1136","Strohmayer","Max","","Regierungshauptsekretär","1919-02-24","Markt-Rettenbach","2014-05-31","","3","3"
"1137","Strohmayr","Alois","","Architekt","1908-08-30","Stadtbergen","1993-02-27","Stadtbergen","3","3"
"1138","Strohmayr","Simone","Dr.","Rechtsanwalt","1967-09-13","Augsburg","null","","9","2"
"1139","Strosche","Johannes","Dr.","Ministerialrat a.D.","1912-01-29","Teplitz-Schönau","1996-05-26","Riemerling","7","3"
"1147","Stücklen","Georg","","Schlossermeister, Bürgermeister a.D.","1875-07-24","Nürnberg","1956-03-05","Heideck","7","1"
"1141","Stuhlberger","Matthias","","Metzgermeister, Landwirt,Bürgermeister","1919-01-29","Wartenberg","1995-08-23","Wartenberg","7","1"
"1148","Stümpfig","Martin","","Umweltingenieur","1970-10-11","Feuchtwangen","null","","9","2"
"1142","Sturm","Irene Maria","","Hausfrau","1953-01-22","Schwandorf","null","","8","1"
"1143","Sturm","Wilhelm","Dr.","Bankdirektor","1889-05-01","Schöllkrippen/Alzenau","1957-06-03","Bamberg","3","3"
"1149","Stürmann","Josef","Prof. Dr.","Universitätsprofessor","null","Münster (Westf)","1959-01-01","München","3","3"
"1153","Sühler","Adam","","Landwirt, Landrat a.D., Staatssekretär a.D.","1889-03-25","Trebgast, Lindau","1964-01-28","Trebgast, Lindau","3","5"
"1150","Suttner","Bernhard","","Schneidermeister","1907-08-19","Vilseck","1983-08-07","Regensburg","2","1"
"1151","Syring","Hans-Willi","Dr. jur.","Rechtskundiger Verwaltungsdirektor","1918-08-31","Landau/Pfalz","1999-04-01","Ulm","8","3"
"1154","Tandler","Gerold","","Bankkaufmann, Staatsminister a.D.","1936-08-12","Reichenberg/Sudetenland","null","","10","1"
"1155","Tasdelen","Arif","","Zollinspektor","null","","null","","20","10"
"1156","Taubeneder","Walter","","Konrektor, Bürgermeister a.D.","1953-05-22","Grund/Ruhstorf a. Rott","null","","7","1"
"1157","Tauber","Hans","","Landwirt","1921-02-22","Erlangen","2007-04-24","Obermichelbach","9","3"
"1158","Tausendfreund","Susanna","","Rechtsanwältin","1963-04-24","München","null","","null","null"
"1159","Thaler","Rupert","","Getreidegroßhändler","1892-09-03","Buchbach","1966-12-11","Eggenfelden","3","3"
"1160","Thalhammer","Tobias","","Diplom-Kaufmann, Prokurist","1979-08-07","Schwandorf/Opf.","null","","6","1"
"1161","Thanbichler","Johann","","Bauer","1892-06-24","Niederheining","1962-01-17","k.A.","3","3"
"1164","Thätter","Blasius","","Sonderschullehrer a.D.","1936-03-23","Großberghofen","null","","16","1"
"1162","Thellmann-Bidner","Martin","","Juristischer Angestellter im Landratsamt","1895-01-31","Dürrbach/Siebenbürg.","1971-11-05","k.A.","3","3"
