"id","Name","Vorname","Titel","Beruf","geb_am","geb_in","ges_am","ges_in","f_id","k_id"
"756","Müller","Willi","","","1936-12-22","Stemmas, Landkreis Wunsiedel","null","","8","2"
"744","Müller - Hahl","Bernhard","","Landrat a.D.","1918-03-31","Erpfting bei Landsberg.a.L.","1985-03-17","Kaufering","4","1"
"757","Münch","Alfred","","Dipl.-Ing. (FH)","1947-09-11","Meinigen/Thüringen","null","","8","2"
"758","Münzel","Petra","","Grund- und Hauptschullehrerin","1955-05-27","Miltenberg","null","","7","null"
"739","Muth","Walter","","Geschäftsführer","1900-06-12","Coburg","1973-01-31","Coburg","3","3"
"740","Muthmann","Alexander","","Jurist, Beamter","1956-04-03","München","null","","23","2"
"759","Mütze","Thomas","","Lehrer","1966-06-26","Würzburg","null","","48","1"
"760","Naaß","Christa","","Verwaltungsangestellte","1955-02-12","Gunzenhausen","null","","8","1"
"761","Nadler","Walter","","Geschäftsführer","1946-07-17","Pfronten/Allgäu","null","","8","1"
"783","Nägelsbach","Elisabeth","","Referentin für Jugendfürsorge","1894-12-12","Schweinfurt","1984-04-08","Nürnberg","6","2"
"762","Nagengast","Wilhelm","","Land- und Gastwirt, Bürgermeister","1892-03-06","Schlaifhausen (Wiesenthau)","1970-02-21","Schlaifhausen (Wiesenthau)","3","3"
"763","Narnhammer","Bärbel","","Erzieherin","1948-12-03","Dorfen/Landkreis Erding","null","","5","1"
"764","Narr","Eva","","Hausfrau","1910-12-20","Potsdam","1975-05-07","Forchheim","7","3"
"784","Nätscher","Karl-Heinz","","Dipl.-Kaufmann, Oberregierungsrat a. D.","1936-08-20","Amberg/Oberpfalz","null","","8","1"
"765","Naumann","Hans-Günter","","Dipl.-Volkswirt","1935-10-28","Rathenow (Westhavelland)","2010-09-26","München","3","3"
"766","Neder","Herbert","","Bürgermeister a.D.","1939-12-11","Oberthulba","2015-06-23","","4","1"
"767","Nentwig","Armin","","Technischer Fernmeldehauptsekretär a. D.","1943-05-15","Hirschberg","null","","9","2"
"768","Nerlinger","Ludwig","","Buchdruckereibesitzer","1918-04-30","Augsburg","2003-03-29","Wasserburg","3","3"
"769","Nerreter","Paul","Dr. jur.","Jurist, Staatssekretär a.D.","1905-02-05","Nürnberg","1981-04-20","","3","5"
"770","Neubauer","Franz","","Staatsminister für Arbeit und Sozialordnung","1930-05-10","Marienbad (Egerland)","2015-12-02","","9","3"
"771","Neuburger","Ambros","","Polizeibeamter a.D.","1925-11-10","Bessenbach, Lkr.Aschaffenburg","2002-07-08","Sailauf","8","3"
"772","Neumann","Ferdinand","","Betriebsleiter","1911-04-24","Konnersreuth","1999-02-22","Frensdorf","3","3"
"773","Neumeier","Johann","","Verwaltungsfachwirt","1945-06-07","Unterammergau, Landkreis Garmisch-Partenkirchen","null","","5","1"
"774","Neumeyer","Martin","","Dipl. Betriebswirt","1954-11-04","Abensberg","null","","38","1"
"775","Neundorfer","Joseph","","Oberschulrat i.R.","1901-11-21","Frensdorf","1997-11-21","Bamberg","4","1"
"776","Neuner","Johann","","Landwirt und Geschäftsführer","1914-11-20","Mittenwald","1991-03-17","Mittenwald","3","3"
"777","Niedermayer","Josef","","Kaufmann","1926-06-01","Viechtach","null","","9","3"
"778","Niedermeier","Hermann Josef","","Geschäftsführer","1936-05-26","Euschertsfurth, Kreis Deggendorf","null","","5","null"
"779","Nirschl","Josef","","Elektromeister, Unternehmer, stv. Handwerkskammerpräsident","1901-02-24","Deggendorf","1985-01-08","Weiden i.d.Opf.","3","3"
"780","Noichl","Maria","","Fachlehrerin für Ernährung und Gestaltung","1967-01-09","Rosenheim","null","","23","null"
"781","Noske","Alfred","","Drogist, Flüchtlingsbetreuer","1894-03-09","Guhrau, Schlesien","1957-01-23","Treffendorf (Stallwang)","3","3"
"785","Nöth","Eduard","","Studienrat a.D. (Realschule)","1949-09-07","Forchheim/Ofr.","null","","8","1"
"786","Nüssel","Adam","","Landwirt, Bürgermeister, Landrat a.D.","1897-04-17","Hohenknoden (Bad Berneck i.Fichtelgebirge)","1962-09-25","Hohenknoden (Bad Berneck i.Fichtelgebirge)","7","3"
"787","Nüssel","Simon","","Staatsminister a.D.","1924-01-20","Hohenknoden","2015-11-17","","7","2"
"782","Nussel","Walter","","Unternehmer, Geschäftsführer","1965-10-12","Erlangen","null","","8","2"
"789","Oberländer","Theodor","Prof. Dr. Dr.","Universitätsprofessor, Staatssekretär a.D.","1905-05-01","Meiningen","1998-05-04","Bonn","3","3"
"788","Oberle","Karl","","Rechtsanwalt; Landrat","1925-09-17","Elsenfeld, Krs. Obernburg","2008-01-10","Elsenfeld","9","3"
"790","Obermeier","Thomas","","Rechtsanwalt","1964-11-02","Kipfenberg","null","","4","1"
"791","Odenbach","Friedrich","","Schulamtsdirektor a. D.","1945-01-13","Bamberg","null","","8","1"
"792","Oechsle","Richard","Dr. h.c.","Staatsminister a.D.","1898-05-27","Lahr/Baden","1986-05-12","München?","3","3"
"793","Oeckler","Georg Ludwig","Dr.","prakt.Arzt","1918-01-29","Langquaid/Ndb.","2004-01-01","Schwenningen","3","3"
"794","Ohliger","Hugo","","Amtsrat, Architekt","1920-03-01","Hochspeyer/Pfalz","1999-01-01","Murnau","8","1"
"795","Op den Orth","Franz","","Werkmeister, Redakteur","1902-11-28","Essen","1970-03-10","Schweinfurt","3","4"
