"id","Bezeichnung"
"157","Unterausschuß zur Förderung des Wiederaufbaus Würzburg-Nürnberg"
"99","Unterausschuß:Untersuchungsausschuß - Jagdreferat/Weihenstephan/Milch-Ausschuß"
"200","Unterausschuss ""Zukunftskonzept für die Hochschule für Politik (HfP) München"""
"380","Unterausschuss für Arbeitsrechtsfragen (Sozialpolitischer Ausschuss)"
"284","Unterausschuss für Bautechnik (Wohnungs- und Siedlungsbau)"
"278","Unterausschuss für Fragen der Landessiedlung (Ausschusses für Ernährung und Landwirtschaft)"
"342","Unterausschuss für Fragen der Staatszuschüsse an Kirchen (Staatshaushalt)"
"136","Unterausschuss für Fürsorgewesen (Sozialpolitischer Ausschuss)"
"156","Unterausschuss für Gesamtplanung (Wohnungs- und Siedlungsbau)"
"283","Unterausschuss für Sozialversicherungsfragen (Sozialpolitischer Ausschuss)"
"184","Unterausschuss für Theaterfragen (Staatshaushalt)"
"295","Unterausschuss für Zins- und Teilwaldfragen (Ausschuss für Ernährung und Landwirtschaft)"
"236","Unterausschuss zum Studium der Frage des Erlasses einer Laufbahn-Verordnung für Lehrer und andere Beamtengruppen (Beamtenrecht und Besoldung)"
"325","Unterausschuss zur Änderung des Bayer. Ärztegesetzes (Sozialpolitische Angelegenheiten)"
"159","Unterausschuss zur Behandlung der Wohnungsfragen (Sozialpolitischer Ausschuss)"
"260","Unterausschuss zur Beratung der Änderungen des Rundfunkgesetzes (Kulturpolitischer Ausschuss)"
"164","Unterausschuss zur Beratung des Antrags Hauffe betr. Wiedereinsetzung der früheren Angehörigen des bayer. Versorgungsverbandes in ihre alten Rechte (Verfassungsausschuss)"
"234","Unterausschuss zur Beratung des Entwurfs eines Gesetzes zur Änderung des Gesetzes über Gewährung von Blindengeld an Friedens- blinde vom 28.9.1949 (Sozialpolitischer Ausschuss)"
"347","Unterausschuss zur Beratung des Entwurfs eines Gesetzes zur Bekämpfung der Tuberkulose (Sozialpolitischer Ausschuss)"
"242","Unterausschuss zur Beratung des Forstrechtsgesetzes (Verfassungsfragen und Rechtsfragen)"
"235","Unterausschuss zur Beratung des Gesetzes über versorgungsrechtliche Maßnahmen (Besoldungsausschuss)"
"266","Unterausschuss zur Beratung des Problems der nichtstaatlichen, höheren Schulen (Kulturpolitischer Ausschuss)"
"321","Unterausschuss zur Beratung von Anträgen über den Erlass der Grunderwerbsteuer (Staatshaushalt und Finanzfragen)"
"177","Unterausschuss zur Besichtigung der Flüchtlings- und Grenzlandlager (Heimatvertriebenenausschuss)"
"255","Unterausschuss zur Förderung des Wiederaufbaues Würzburg-Nürnberg (Staatshaushalt)"
"76","Unterausschuss zur Prüfung der Haushaltsüberschreitungen beim Ausbau des Residenztheaters und weiterer staatlicher Bauvorhaben (Untersuchungsausschuss Residenztheater)"
"346","Unterausschuss zur Überprüfung der räumlichen Verhältnisse bei den Landesversicherungsanstalten (Sozialpolitischer Ausschuss)"
"68","Unterausschuss zur Überprüfung der Wirtschaftsverbände (Ernährung und Landwirtschaft)"
"166","Unterausschuss zur Überprüfung des Rückgabeanspruchs der Hüttenvereine (Rechts- Verfassungsfragen)"
"165","Unterausschuss zur Vorbereitung der neuen Geschäftsordnung (Geschäftsordnungsausschuss)"
"256","Unteraussschuß - Kulturpolitische Angelegenheiten"
"290","Untersuchungsausschuß - Buballa"
"249","Untersuchungsausschuß - KFZ-Beschlagnahmungen"
"338","Untersuchungsausschuß - Milchwirtschaft"
"336","Untersuchungsausschuß zum Verhalten der Beamten des Staatskommissariats für das Hilfswerk Oppau"
"313","Untersuchungsausschuß zur Klärung der sog. Sanierungsangelegenheit der Regensburger Bezugsvereinigung"
"131","Untersuchungsausschuß zur Prüfung der landespolitisch bedeutsamen Gesichtspunkte der Affäre um behauptete Veröffentlichungen, Kenntnisse und Verhaltensweisen des Leiters der Abteilung Staatsschutz im Bayerischen staatsministerium des Innern"
"220","Untersuchungsausschuß zur Prüfung der Vorgänge bei den Grundstücksgeschäften des Freistaates Bayern im Raum Ingolstadt"
"222","Untersuchungsausschuß zur Überprüfung der städtebaulichen, verkehrlichen und finanziellen Maßnahmen der Landeshauptstadt München und zur Prüfung von Fehlern und Versäumnissen beim Stachusbauwerk"
"119","Untersuchungsausschuss ""Enquete-Ausschuss WAA"""
"49","Untersuchungsausschuss ""Labor"""
"50","Untersuchungsausschuss ""Modellbau"""
"191","Untersuchungsausschuss ""Wiederaufarbeitungsanlage Wackersdorf"""
"120","Untersuchungsausschuss Atomkraftwerk Isar I"
"240","Untersuchungsausschuss BayernLB"
"62","Untersuchungsausschuss BayernLB / HGAA"
"53","Untersuchungsausschuss betreffend 2. Untersuchungsausschuss der 12. Wahlperiode (Führungshilfen)"
"121","Untersuchungsausschuss betreffend Bayerische Bezüge der Tätigkeit des Bereichs ""Kommerzielle Koordinierung"" und Alexander Schalck-Golodkowskis"
"55","Untersuchungsausschuss betreffend Beziehungsgeflecht in Bayern zwischen Politikern und Steuerschuldnern ""Steuerfälle"""
"54","Untersuchungsausschuss betreffend das Verhalten von Mitgliedern der Staatsregierung (Streibl)"
"147","Untersuchungsausschuss betreffend Erwerbspolitik der Bayerischen Staatsregierung - insbesondere der Bayerischen Staatsgemäldesammlungen - bei Kunstgegenständen seit 1970"
"264","Untersuchungsausschuss betreffend Nebentätigkeit der beamteten Hochschullehrer und wissenschaftlichen Assistenten und Mitarbeiter"
"174","Untersuchungsausschuss Chemische Fabrik Marktredwitz"
"296","Untersuchungsausschuss Fall Mollath"
"152","Untersuchungsausschuss Rechtsterrorismus in Bayern - NSU"
"116","Untersuchungsausschuss Staatsministerin Monika Hohlmeier"
"246","Untersuchungsausschuss Wildfleisch und Verbraucherschutz"
"104","Untersuchungsausschuss zum Fall Blum"
"128","Untersuchungsausschuss zum Verhalten von Herrn Staatssekretär Sackmann und Herrn Ministerialrat Dr. Dörrbecker im Zusammenhang mit den Vorgängen um die Firmengruppe Glöggler"
"257","Untersuchungsausschuss zur Aufklärung der Verwicklung bayerischer Behörden in Fällen von Nuklearkriminalität"
"150","Untersuchungsausschuss zur Aufklärung der Vorgänge bei der LWS"
"3","Untersuchungsausschuss zur Aufklärung des Verhaltens der bayerischen Finanzbehörden"
"37","Untersuchungsausschuss zur Klärung des Falles Dr. Burgard"
"133","Untersuchungsausschuss zur Prüfung aller landespolitisch bedeutsamen Gesichtspunkte bislang bekannt gewordener Verhaltungsweisen und Kenntnisse des langjährigen Leiters der Abteilung Staatsschutz Dr. Langemann sowie das Vorgehen der Mitglieder der Staatsr"
"202","Untersuchungsausschuss zur Prüfung aller Vorgänge beim Bau der Trabentenstadt Neu-Perlach infolge der Einschaltung der nichtgemeinnützigen ""Terrafinanz"" und der ""Neuen Heimat"" durch die LHS München in der Amtszeit des ehem. OB Dr. Hans Jochen Vogel"
"187","Untersuchungsausschuss zur Prüfung der Beschwerden an den Bayerischen Landtag (Art. 115 BV) aus der Justizvollzugsanstalt Straubing"
"194","Untersuchungsausschuss zur Prüfung der Durchführung des Staatsvertrages zur Vergabe der Studienplätze"
"82","Untersuchungsausschuss zur Prüfung der Filmkredite"
"107","Untersuchungsausschuss zur Prüfung der Vorgänge im Landesentschädigungsamt"
"178","Untersuchungsausschuss zur Prüfung der Vorgänge in der Bauabteilung des Staatssekretariats für das Flüchtlingswesen"
"96","Untersuchungsausschuss zur Prüfung der Vorgänge und Hintergründe bei der Behandlung bestimmter Steuerfälle im Bereich der Bayerischen Finanzverwaltung Drs. 8/7294"
"118","Untersuchungsausschuss zur Prüfung der Vorgänge und Hintergründe im Zusammenhang mit den Vorwürfen gegen die Amtsführung des Herrn Staatsminister Dr. Heubl"
"94","Untersuchungsausschuss zur Prüfung des Verhaltens des bayerischen Ministerpräsidenten während der Kundgebung der CSU am 23. September 1980 auf dem Münchner Marienplatz sowie zur Prüfung der Vorfälle bei nach der Kundgebung"
"97","Untersuchungsausschuss zur Prüfung des Vorgehens der zuständigen Finanzbehörden (Finanzamt für Körperschaften, Oberfinanzdirektion München, Bayerisches Staatsministerium der Finanzen) im Zusammenhang mit der Besteuerung des Wienerwald-Konzerns"
"170","Untersuchungsausschuss zur Prüfung des Vorgehens des Bayerischen Staatsministeriums des Innern und der ihm nachgeordneten Behörden gegenüber Asylsuchenden und anderen Staatsangehörigen von Ostblockländern und zur Aufklärung der Ursachen der insbesondere i"
"186","Untersuchungsausschuss zur Prüfung des Vorgehens des Justizministeriums und der Staatsanwaltschaft im Zusammenhang mit einem Treuhandvertrag zwischen Gerold Tandler und der BIT GmbH"
