"id","Bezeichnung"
"227","Beirat beim Landesamt für Datenverarbeitung"
"95","Beirat beim Landesbeauftragten für den Datenschutz"
"83","Beirat der Bücherei des Landtags"
"305","Beirat der Landessiedlung"
"291","Beirat des Milchwirtschaftsverbandes Bayern"
"172","Beirat nach Art. 5 des Gesetzes über die Organisation der elektronischen Datenverarbeitung im Freistaat Bayern - EDV-Beirat -"
"130","Beirat zur Wiedergutmachung beim Landesentschädigungsamt"
"274","Beschw.Aussch.d.Außenst.Mfr.(als Vertr.d.Gr.d.Sachgeschäd.)"
"390","Beschwerdeausschuß bei der Außenstelle Mittelfranken des Landesamts für Soforthilfe (als Vertr.d.Städteverbandes)"
"318","Beschwerdeausschuß bei der Außenstelle Oberfranken des Landesamts für Soforthilfe"
"137","Beschwerdeausschuß bei der Außenstelle Schwaben des Landesamts für Soforthilfe"
"391","Beschwerdeausschuß beim Milch- und Fettwirtschaftsverband"
"379","Beschwerdeausschuß d.Landesamtes f.Soforth.d.Landkreisverbandes Bayern"
"89","Beschwerdeausschuß des Versorgungswerks"
"144","Besoldungsausschuß"
"375","Bibliothekkommission"
"383","Block der Heimatvertriebenen und Entrechteten"
"306","Bundesrat"
"81","Bundesversammlung (Berlin)"
"114","BÜNDNIS 90/DIE GRÜNEN"
"148","CSU"
"112","Datenschutzkommission"
"115","Deutsche Einheit"
"319","Deutsche Partei für Freiheit und Recht"
"337","DIE GRÜNEN"
"341","Direktorium zur Entscheidung etwaiger Streitfragen beim Vollzug des Aufwandsentschädigungsgesetzes"
"34","Eingabenausschuß"
"122","Energiebeirat beim Staatsministerium für Wirtschaft u.Verkehr"
"270","Enquete-Kommission ""Gleichwertige Lebensverhältnisse in ganz Bayern"""
"267","Enquete-Kommission ""Jungsein in Bayern - Zukunftsperspektiven für die kommenden Generationen"""
"124","Enquete-Kommission 'Mit neuer Energie in das neue Jahrtausend'"
"149","Enquete-Kommission Reform des Föderalismus - Stärkung der Landesparlamente"
"29","Entnazifizierungsausschuß beim Sonderministerium"
"389","Ernährungsbeirat"
"333","Eröffnungssitzung"
"370","erweiterter II.Ausschuß für Gegenstände der Finanzen und Staatsschuld"
"153","FDP"
"351","FFG"
"384","Filmbeirat beim Wirtschaftsministerium"
"358","FPV"
"276","Fraktionssitzung BÜNDNIS 90/DIE GRÜNEN"
"268","Fraktionssitzung der CSU"
"212","Fraktionssitzung der FDP"
"360","Fraktionssitzung der FREIEN WÄHLER"
"286","Fraktionssitzung der SPD"
"19","FREIEN WÄHLER"
"323","Gesamatdeutscher Block/Block der Heimatvertriebenen und Entrechteten"
"138","Gruppe der Heimatvertriebenen"
"252","Haus der Bayerischen Geschichte"
"181","I. Vizepräsident"
"362","I. Vizepräsidentin"
"373","I.Geschäftsordnungs-Ausschuß"
