"pa_id","a_id","Typ","von","bis"
"63","21","Stv. Fraktionsvorsitzende","2011-06-08","2013-10-06"
"64","21","Mitglied","2013-06-04","2013-10-06"
"64","21","Mitglied","2013-10-24","2013-10-24"
"65","21","Mitglied","2013-10-07","2013-10-07"
"16","22","Mitglied","2003-11-04","2008-04-30"
"43","22","Mitglied","2003-11-04","2008-04-30"
"4","23","Mitglied","2008-12-04","2013-10-06"
"4","23","Mitglied","2013-11-06","2013-11-06"
"2","24","Mitglied","1954-12-13","1962-12-06"
"3","24","Mitglied","1950-11-27","1954-12-12"
"5","24","Mitglied","1953-11-27","1954-12-12"
"8","24","Mitglied","1949-01-10","1950-11-26"
"8","24","Mitglied","1950-11-27","1954-12-12"
"10","24","Mitglied","1962-10-23","1962-12-06"
"20","24","Mitglied","1947-01-29","1949-01-10"
"20","24","Mitglied","1950-11-27","1954-12-12"
"22","24","Mitglied","1947-01-29","1947-01-29"
"26","24","Mitglied","1946-07-15","1946-10-26"
"64","24","Mitglied","1950-11-27","1954-12-12"
"66","24","Mitglied","1946-07-15","1946-10-26"
"67","24","Mitglied","1949-01-10","1950-11-26"
"67","24","stv. Mitglied","1946-12-16","1949-01-10"
"68","24","Mitglied","1950-03-15","1950-11-26"
"69","24","Mitglied","1950-11-27","1954-12-12"
"70","24","II. Vizepräsident","1953-11-27","1954-12-12"
"8","25","Mitglied","1970-12-03","1974-11-11"
"8","25","Mitglied","1974-11-12","1978-10-29"
"8","25","Mitglied","1978-10-30","1982-10-19"
"10","25","stv. Mitglied","1978-09-20","1978-10-29"
"10","25","stv. Mitglied","1982-07-23","1982-10-19"
"33","25","Mitglied","1970-12-03","1974-11-11"
"33","26","Mitglied","1966-12-02","1970-12-02"
"64","26","Mitglied","1968-10-23","1970-12-02"
"7","27","Mitglied","1958-12-04","1962-12-06"
"7","27","Mitglied","1962-12-07","1966-12-01"
"10","27","stv. Mitglied","1966-11-09","1966-12-01"
"71","27","Mitglied","1950-11-27","1954-12-12"
"71","27","Mitglied","1955-01-13","1957-04-01"
"72","27","Mitglied","1950-11-27","1954-12-12"
"72","27","Mitglied","1955-01-12","1958-12-03"
"73","27","Mitglied","1955-01-13","1957-04-01"
"73","27","Mitglied","1958-12-04","1962-12-06"
"73","27","Mitglied","1962-12-07","1966-12-01"
"7","28","Mitglied","1958-12-04","1962-12-06"
"7","28","Mitglied","1962-12-07","1966-12-01"
"10","28","stv. Mitglied","1962-10-23","1962-12-06"
"10","28","stv. Mitglied","1966-11-09","1966-12-01"
"71","28","Mitglied","1958-12-04","1962-12-06"
"74","28","Mitglied","1958-12-04","1962-12-06"
"74","28","Mitglied","1962-12-07","1966-12-01"
"2","29","Mitglied","1957-06-21","1957-10-24"
"5","29","Mitglied","1954-12-13","1958-12-03"
"11","29","Mitglied","1958-12-04","1961-12-15"
"23","29","Mitglied","1950-11-27","1954-12-12"
"23","29","Mitglied","1954-12-13","1958-12-03"
"33","29","Mitglied","1954-12-13","1957-04-01"
"33","29","Vorsitzender","1950-11-27","1954-12-12"
"39","29","Mitglied","1950-11-27","1954-12-12"
"64","29","Mitglied","1954-12-13","1958-12-03"
"70","29","II. Vizepräsident","1954-12-13","1958-12-03"
"72","29","Mitglied","1954-12-13","1958-12-03"
"75","29","Mitglied","1950-11-27","1953-05-05"
"75","29","Mitglied","1953-06-23","1953-11-24"
"76","29","Mitglied","1950-11-27","1954-12-12"
"77","29","Vorsitzender","1950-11-27","1954-12-12"
"78","29","Mitglied","1955-07-21","1958-12-03"
"79","29","Mitglied","1956-12-01","1958-12-03"
"80","29","Mitglied","1958-12-04","1961-12-15"
"81","29","Mitglied","1959-07-01","1959-07-01"
"7","31","Mitglied","1950-11-27","1954-12-12"
"7","31","Vorsitzender","1958-04-25","1958-12-03"
"72","31","Mitglied","1950-11-27","1954-12-12"
"76","31","Mitglied","1954-02-23","1954-12-12"
"82","31","Mitglied","1950-11-27","1954-12-12"
"83","31","stv. Mitglied","1954-03-17","1958-12-03"
"26","32","Mitglied","1946-07-15","1946-10-26"
"28","32","Mitglied","1947-01-29","1950-11-26"
"28","32","Mitglied","1950-11-27","1953-09-28"
"30","32","stellvertr.nichtberufsrichterliches Mitglied","1951-02-08","1953-09-28"
"31","32","Mitglied","1947-01-29","1950-11-26"
"31","32","Mitglied","1950-11-27","1953-09-28"
"37","32","Mitglied","1949-12-13","1950-11-26"
"10","33","Mitglied","1966-11-09","1966-12-01"
"51","33","Mitglied","1962-12-07","1966-12-01"
"50","34","Mitglied","2014-11-27","2014-11-27"
"84","34","Mitglied","2008-12-04","2013-10-06"
"85","34","Mitglied","2013-11-06","2013-11-06"
"86","34","Mitglied","2013-11-06","2013-11-06"
"87","34","Mitglied","2013-12-04","2013-12-04"
"16","35","Mitglied","2013-11-06","2013-11-06"
"88","35","Mitglied","2013-11-06","2013-11-06"
"7","36","Mitglied","1973-05-03","1974-11-11"
"8","36","Mitglied","1973-05-03","1974-11-11"
"22","36","stv. Mitglied","1974-10-29","1974-10-29"
"7","37","Vorsitzender","1982-10-27","1986-10-21"
"8","37","Mitglied","1978-11-07","1982-10-19"
"8","37","Mitglied","1986-11-12","1990-10-23"
"9","37","Mitglied","1978-11-07","1982-10-19"
"22","37","Mitglied","1994-07-21","1994-10-14"
"33","37","Mitglied","1974-11-19","1978-10-29"
"33","37","Mitglied","1982-10-27","1986-10-21"
"33","37","Mitglied","1986-11-12","1990-10-23"
"51","37","Mitglied","1990-10-30","1994-10-14"
"57","37","Mitglied","1974-12-10","1978-10-29"
"64","37","stv. Mitglied","1978-10-30","1982-10-19"
"64","37","stv. Mitglied","1982-10-20","1986-10-21"
"64","37","stv. Mitglied","1986-10-22","1990-10-23"
"64","37","stv. Mitglied","1990-10-24","1994-10-14"
"89","37","stv. Mitglied","1986-10-22","1990-10-23"
"90","37","Mitglied","1990-10-30","1994-10-14"
"10","39","Mitglied","1998-07-09","1998-09-27"
"44","39","Mitglied","1990-10-30","1994-10-14"
"46","39","Mitglied","1990-10-30","1994-10-14"
"56","39","Mitglied","1994-02-24","1994-07-14"
"64","39","1.stv.Mitglied","2000-10-12","2003-10-05"
"91","39","Mitglied","1994-11-10","1998-09-27"
"91","39","Stellvertr. Vorsitzende","1998-10-28","2003-10-05"
"92","39","Mitglied","1994-11-10","1998-09-27"
"25","40","Stellvertr. Vorsitzender","1955-01-24","1956-01-09"
"70","40","Alterspräsident","1954-12-13","1954-12-13"
"2","41","Mitglied","1981-11-15","1982-10-19"
"2","41","Mitglied","1982-10-27","1986-10-21"
"2","41","Mitglied","1986-11-12","1990-10-23"
"10","41","Mitglied","1990-07-20","1990-10-23"
"10","41","stv. Mitglied","1982-07-23","1982-10-19"
"10","41","stv. Mitglied","1986-07-24","1986-10-21"
"18","41","Mitglied","1978-12-13","1982-10-19"
"18","41","Mitglied","1982-11-18","1986-10-21"
"18","41","Mitglied","1986-12-10","1990-10-23"
"31","41","Mitglied","1990-07-20","1990-10-23"
"57","41","Mitglied","1981-11-12","1982-10-19"
"93","41","Mitglied","1978-11-07","1982-10-19"
"93","41","Mitglied","1982-10-27","1986-10-21"
"94","41","stv. Mitglied","1980-10-30","1981-04-08"
"95","41","stv. Mitglied","1986-12-10","1990-10-23"
"96","41","Mitglied","1989-05-11","1989-10-12"
"97","41","Mitglied","1989-12-13","1990-07-19"
"2","42","Mitglied","1950-11-27","1954-12-12"
"7","42","Mitglied","1946-12-16","1950-11-26"
"8","42","stv.Vorsitzender","1950-11-27","1954-12-12"
"8","42","Vorsitzender","1947-01-29","1949-03-31"
"20","42","Mitglied","1947-01-29","1950-11-26"
"22","42","Mitglied","1950-11-27","1950-11-27"
"26","42","Mitglied","1946-07-15","1946-10-26"
"67","42","Mitglied","1950-11-27","1954-12-12"
"98","42","Mitglied","1946-12-16","1950-11-26"
"99","42","Mitglied","1946-12-16","1950-11-26"
"100","42","Mitglied","1947-01-29","1950-11-26"
